#code|abbreviation|type|name|unit|scale|reference|width|crex_unit|crex_scale|crex_width
001192|modelVersionNumber|long|MODEL VERSION NUMBER|CODE TABLE 1192|0|0|8|0|0|
001193|sigma0SimulationMethod|long|SIGMA_0 SIMULATION METHOD|CODE TABLE 1193|0|0|4|0|0|
001194|carrierBalloonOrAircraftIdentifier|string|CARRIER BALLOON/AIRCRAFT IDENTIFIER|CCITTIA5|0|0|72|0|0|
001195|mobilLandStationIdentifier|string|MOBIL LAND STATION IDENTIFIER|CCITTIA5|0|0|72|0|0|
001196|constantLevelBalloonIdentifier|string|CONSTANT LEVEL BALLOON IDENTIFIER|CCITTIA5|0|0|72|0|0|
001197|rtpPlatformType|long|RTP - PLATFORM TYPE|CODE TABLE 1197|0|0|10|0|0|
001198|itpDeckId|long|ITP - DECK ID|CODE TABLE 1198|0|0|10|0|0|
001199|dupDuplicateStatus|long|DUP - DUPLICATE STATUS|CODE TABLE 1199|0|0|4|0|0|
001201|generatingApplication|long|GENERATING APPLICATION|CODE TABLE 1201|0|0|8|0|0|
001205|satelliteIdentifier|long|SATELLITE IDENTIFIER|CODE TABLE 1205|0|0|10|0|0|
001208|velocityOfPlatformX|double|VELOCITY OF PLATFORM, X|M/S|5|-1073741824|31|0|0|
001209|velocityOfPlatformY|double|VELOCITY OF PLATFORM, Y|M/S|5|-1073741824|31|0|0|
001210|velocityOfPlatformZ|double|VELOCITY OF PLATFORM, Z|M/S|5|-1073741824|31|0|0|
001211|originOfSeaSurfaceAnalysis|string|ORIGIN OF SEA SURFACE ANALYSIS|CCITTIA5|0|0|160|0|20|
001220|radarCompositeName|string|RADAR COMPOSITE NAME|CCITTIA5|0|0|160|0|20|
002192|sarAzimuthAngle|double|SAR AZIMUTH ANGLE|DEGREE|0|0|9|0|0|
002193|1dVarSatelliteChannelSUsed|long|1D VAR SATELLITE CHANNEL(S) USED|FLAG TABLE 2193|0|0|28|0|0|
002194|constantLevelBalloonType|long|CONSTANT LEVEL BALLOON TYPE|CODE TABLE 2194|0|0|4|0|0|
002195|typeOfSatelliteInstrumentation|long|TYPE OF SATELLITE INSTRUMENTATION|CODE TABLE 2195|0|0|4|0|0|
002196|satelliteClassification|long|SATELLITE CLASSIFICATION|CODE TABLE 2196|0|0|9|0|0|
002197|satelliteChannelCentreFrequency|double|SATELLITE CHANNEL CENTRE FREQUENCY|Hz|-8|0|26|0|0|
002198|satelliteChannelBandWidth|double|SATELLITE CHANNEL BAND WIDTH|Hz|-8|0|26|0|0|
002199|integratedMeanHumidityComputationalMethod|long|INTEGRATED MEAN HUMIDITY COMPUTATIONAL METHOD|CODE TABLE 2199|0|0|4|0|0|
002200|latitudinalResolution|double|LATITUDINAL RESOLUTION|DEGREE|5|0|25|0|0|
002201|longitudinalResolution|double|LONGITUDINAL RESOLUTION|DEGREE|5|0|25|0|0|
002202|simulatedDataProcessingTechniqueUsed|long|SIMULATED DATA PROCESSING TECHNIQUE USED|FLAG TABLE 2202|0|0|4|0|0|
