ymd,time,latitude,longitude,altitude,pressure,windSpeed,windDirection,temperature
20150101,05:30:00,51.75794 ,1.7008 ,2362.0,759.32 ,19.28 ,81.95 ,14.18 
20150101,05:30:01,51.75738 ,1.7014 ,2369.0,758.64 ,19.71 ,81.24 ,14.17 
20150101,05:30:02,51.75681 ,1.7020 ,2375.0,758.16 ,19.80 ,80.82 ,14.15 
20150101,05:30:03,51.75624 ,1.7026 ,2382.0,757.66 ,19.84 ,80.84 ,14.13 
20150101,05:30:04,51.75567 ,1.7031 ,2388.0,757.08 ,19.77 ,80.71 ,14.08 
20150101,05:30:05,51.75511 ,1.7037 ,2395.0,756.60 ,19.79 ,80.55 ,14.08 
20150101,05:30:06,51.75454 ,1.7043 ,2401.0,755.96 ,19.70 ,80.24 ,14.11 
20150101,05:30:07,51.75398 ,1.7049 ,2406.0,755.26 ,19.77 ,80.21 ,14.08 
20150101,05:33:41,51.61353 ,1.8529 ,2558.0,742.34 ,19.66 ,82.84 ,13.74 
20150101,05:33:42,51.61281 ,1.8536 ,2558.0,742.30 ,19.54 ,82.59 ,13.76 
20150101,05:33:43,51.61209 ,1.8543 ,2557.0,742.34 ,19.47 ,82.56 ,13.77 
20150101,05:33:44,51.61137 ,1.8551 ,2557.0,742.42 ,19.61 ,82.47 ,13.78 
20150101,05:33:45,51.61065 ,1.8558 ,2557.0,742.40 ,19.55 ,82.83 ,13.75 
20150101,05:33:46,51.60994 ,1.8565 ,2557.0,742.34 ,19.72 ,82.40 ,13.75 
20150101,05:33:47,51.60922 ,1.8573 ,2557.0,742.42 ,19.70 ,82.86 ,13.74 
20150101,05:33:48,51.60851 ,1.8580 ,2558.0,742.42 ,19.72 ,83.18 ,13.74 
20150101,05:33:49,51.60779 ,1.8588 ,2558.0,742.36 ,19.87 ,83.18 ,13.76 
20150101,05:33:50,51.60707 ,1.8595 ,2558.0,742.24 ,19.87 ,82.71 ,13.76 
20150101,05:33:51,51.60635 ,1.8602 ,2558.0,742.20 ,19.89 ,82.98 ,13.76 
20150101,05:33:52,51.60564 ,1.8609 ,2558.0,742.26 ,19.74 ,82.40 ,13.79 
20150101,05:33:53,51.60492 ,1.8617 ,2558.0,742.22 ,19.71 ,82.27 ,13.80 
20150101,05:33:54,51.60420 ,1.8624 ,2558.0,742.20 ,19.51 ,82.61 ,13.84 
20150101,05:33:55,51.60349 ,1.8631 ,2557.0,742.44 ,19.85 ,81.95 ,13.82 
20150101,05:33:56,51.60277 ,1.8639 ,2556.0,742.32 ,19.61 ,82.23 ,13.78 
20150101,05:33:57,51.60205 ,1.8646 ,2555.0,742.54 ,19.57 ,81.95 ,13.81 
20150101,05:35:59,51.51433 ,1.9565 ,2553.0,742.30 ,18.21 ,81.25 ,14.45 
20150101,05:36:00,51.51360 ,1.9572 ,2553.0,742.34 ,18.42 ,80.25 ,14.45 
20150101,05:36:01,51.51288 ,1.9580 ,2553.0,742.40 ,18.38 ,79.72 ,14.43 
20150101,05:36:02,51.51215 ,1.9588 ,2552.0,742.42 ,18.34 ,79.76 ,14.37 
20150101,05:36:03,51.51142 ,1.9595 ,2552.0,742.48 ,18.38 ,80.23 ,14.34 
20150101,05:36:04,51.51070 ,1.9603 ,2552.0,742.58 ,18.39 ,80.07 ,14.35 
20150101,05:36:05,51.50997 ,1.9610 ,2551.0,742.42 ,18.29 ,80.05 ,14.35 
20150101,05:36:06,51.50924 ,1.9618 ,2551.0,742.68 ,18.22 ,80.20 ,14.35 
20150101,05:36:07,51.50852 ,1.9625 ,2551.0,742.54 ,18.21 ,80.20 ,14.35 
20150101,05:36:08,51.50779 ,1.9633 ,2551.0,742.38 ,18.17 ,80.11 ,14.30 
20150101,05:36:09,51.50706 ,1.9641 ,2551.0,742.60 ,18.20 ,80.35 ,14.27 
20150101,05:36:10,51.50634 ,1.9648 ,2551.0,742.48 ,18.05 ,80.69 ,14.27 
20150101,05:36:11,51.50561 ,1.9656 ,2551.0,742.58 ,18.03 ,80.87 ,14.27 
20150101,05:36:12,51.50489 ,1.9664 ,2552.0,742.48 ,18.29 ,81.89 ,14.25 
20150101,05:36:13,51.50416 ,1.9671 ,2552.0,742.52 ,18.14 ,82.59 ,14.31 
20150101,05:36:14,51.50343 ,1.9679 ,2553.0,742.34 ,18.23 ,83.10 ,14.35 
20150101,05:36:15,51.50271 ,1.9686 ,2553.0,742.28 ,18.56 ,84.18 ,14.31 
20150101,05:36:16,51.50198 ,1.9694 ,2554.0,742.30 ,18.55 ,84.49 ,14.33 
20150101,05:36:17,51.50126 ,1.9702 ,2554.0,742.24 ,18.72 ,84.70 ,14.37 
20150101,05:36:18,51.50054 ,1.9709 ,2554.0,742.30 ,18.74 ,85.26 ,14.36 
20150101,05:36:19,51.49981 ,1.9717 ,2554.0,742.12 ,18.80 ,85.39 ,14.37 
20150101,05:36:20,51.49909 ,1.9724 ,2555.0,742.24 ,18.99 ,85.95 ,14.34 
20150101,05:36:21,51.49837 ,1.9732 ,2555.0,742.24 ,19.02 ,86.23 ,14.32 
20150101,05:36:22,51.49765 ,1.9739 ,2555.0,742.12 ,19.06 ,86.45 ,14.31 
20150101,05:36:23,51.49693 ,1.9747 ,2554.0,742.16 ,19.12 ,86.76 ,14.28 
20150101,05:36:24,51.49621 ,1.9754 ,2554.0,742.26 ,18.87 ,86.29 ,14.30 
20150101,05:36:25,51.49549 ,1.9762 ,2554.0,742.26 ,19.11 ,85.92 ,14.26 
20150101,05:36:26,51.49476 ,1.9769 ,2553.0,742.20 ,19.03 ,86.29 ,14.22 
20150101,05:36:27,51.49405 ,1.9777 ,2553.0,742.34 ,19.18 ,86.32 ,14.20 
20150101,05:36:28,51.49333 ,1.9784 ,2553.0,742.24 ,19.24 ,86.36 ,14.17 
20150101,05:36:29,51.49260 ,1.9792 ,2553.0,742.32 ,19.29 ,85.54 ,14.20 
20150101,05:36:30,51.49189 ,1.9799 ,2553.0,742.34 ,19.36 ,85.71 ,14.20 
20150101,05:36:31,51.49117 ,1.9807 ,2554.0,742.38 ,19.39 ,85.95 ,14.19 
20150101,05:36:32,51.49045 ,1.9814 ,2554.0,742.32 ,19.55 ,86.33 ,14.20 
20150101,05:36:33,51.48973 ,1.9822 ,2554.0,742.22 ,19.52 ,85.98 ,14.21 
20150101,05:36:34,51.48902 ,1.9829 ,2554.0,742.36 ,19.51 ,85.53 ,14.23 
20150101,05:36:35,51.48830 ,1.9837 ,2554.0,742.20 ,19.34 ,85.73 ,14.26 
20150101,05:36:36,51.48759 ,1.9844 ,2554.0,742.00 ,19.37 ,85.62 ,14.26 
20150101,05:36:37,51.48688 ,1.9852 ,2554.0,742.24 ,19.40 ,85.86 ,14.27 
20150101,05:36:38,51.48616 ,1.9859 ,2554.0,742.22 ,19.63 ,86.06 ,14.28 
20150101,05:36:39,51.48545 ,1.9867 ,2553.0,742.26 ,19.95 ,85.89 ,14.27 
20150101,05:36:40,51.48474 ,1.9874 ,2553.0,742.16 ,19.81 ,86.01 ,14.22 
20150101,05:36:41,51.48403 ,1.9881 ,2553.0,742.34 ,19.32 ,87.45 ,14.22 
20150101,05:36:42,51.48333 ,1.9889 ,2552.0,742.10 ,20.22 ,90.31 ,14.11 
20150101,05:36:43,51.48262 ,1.9896 ,2552.0,742.50 ,19.74 ,89.33 ,14.24 
20150101,05:36:44,51.48191 ,1.9904 ,2552.0,742.66 ,18.69 ,87.18 ,14.46 
20150101,05:36:45,51.48121 ,1.9911 ,2552.0,742.38 ,19.41 ,89.47 ,14.41 
20150101,05:36:46,51.48050 ,1.9919 ,2551.0,742.40 ,19.71 ,86.92 ,14.45 
20150101,05:36:47,51.47980 ,1.9926 ,2551.0,742.48 ,18.47 ,86.49 ,14.40 
20150101,05:36:48,51.47910 ,1.9933 ,2551.0,742.18 ,17.70 ,85.66 ,14.39 
20150101,05:36:49,51.47840 ,1.9941 ,2551.0,742.58 ,17.84 ,89.68 ,14.39 
20150101,05:36:50,51.47770 ,1.9948 ,2551.0,742.38 ,19.76 ,83.78 ,14.57 
20150101,05:36:51,51.47700 ,1.9955 ,2551.0,742.24 ,18.98 ,83.07 ,14.39 
20150101,05:36:52,51.47630 ,1.9963 ,2551.0,742.34 ,20.36 ,86.14 ,14.28 
20150101,05:36:53,51.47560 ,1.9970 ,2552.0,742.08 ,20.66 ,84.28 ,14.20 
20150101,05:36:54,51.47490 ,1.9978 ,2553.0,742.58 ,20.01 ,82.04 ,14.27 
20150101,05:36:55,51.47420 ,1.9985 ,2553.0,742.04 ,20.43 ,80.02 ,14.13 
20150101,05:36:56,51.47350 ,1.9992 ,2554.0,742.10 ,18.79 ,80.63 ,14.16 
20150101,05:36:57,51.47280 ,2.0000 ,2555.0,741.98 ,17.62 ,82.50 ,14.08 
20150101,05:36:58,51.47209 ,2.0007 ,2556.0,742.06 ,17.42 ,81.05 ,14.06 
20150101,05:36:59,51.47139 ,2.0014 ,2557.0,742.16 ,16.87 ,83.43 ,13.97 
20150101,05:37:00,51.47069 ,2.0022 ,2558.0,741.94 ,19.95 ,81.32 ,13.80 
20150101,05:37:01,51.46999 ,2.0029 ,2557.0,741.52 ,19.05 ,90.09 ,13.45 
20150101,05:37:02,51.46928 ,2.0036 ,2557.0,741.96 ,18.63 ,89.85 ,13.40 
20150101,05:37:03,51.46858 ,2.0044 ,2556.0,741.94 ,18.00 ,90.13 ,13.29 
20150101,05:37:04,51.46787 ,2.0051 ,2556.0,742.08 ,18.69 ,90.18 ,13.13 
20150101,05:37:05,51.46717 ,2.0058 ,2555.0,742.12 ,19.07 ,88.68 ,13.15 
20150101,05:37:06,51.46647 ,2.0066 ,2555.0,742.34 ,18.67 ,88.31 ,13.07 
20150101,05:37:07,51.46577 ,2.0073 ,2555.0,742.38 ,18.84 ,88.24 ,13.04 
20150101,05:37:08,51.46506 ,2.0080 ,2554.0,742.42 ,18.82 ,88.60 ,13.03 
20150101,05:37:09,51.46437 ,2.0088 ,2554.0,742.36 ,19.10 ,88.56 ,12.99 
